execution_mode,prompt_length,request_count,request_rate,arrival_pattern,max_num_batched_tokens,max_prefill_attention_pairs,request_throughput_rps,output_throughput_tok_s,total_throughput_tok_s,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,itl_p95_ms,itl_p99_ms,e2e_p95_ms,exact_fraction_vs_first_budget,min_matched_prefix_vs_first_budget,decode_only_iterations,prefill_only_iterations,mixed_iterations,mean_token_budget_utilization,mean_mixed_attention_pair_budget_utilization
fully-eager,8192,16,20.0,poisson,16384,,4.502942905280185,288.18834593793184,37176.29662599321,880.6164437592258,1050.5119215384714,1054.3769473242662,36.66480598852985,45.88074266674026,48.36226000435768,58.44131298363209,181.90899009816306,3325.4224860527625,1.0,64,63,4,9,0.10607267680921052,
fully-eager,8192,16,20.0,poisson,16384,262144,0.4167117761367261,26.66955367275047,3440.372423784811,18160.52537802945,34301.69061936086,35651.2977670082,39.98603152909449,40.717673521222814,40.800405025393474,41.93469677120447,42.61762502603233,36644.08464419303,1.0,64,63,10,888,0.008388682036940686,0.991026191024093
fully-eager,8192,16,20.0,poisson,16384,1048576,0.7892101317301802,50.50944843073153,6515.718847564368,8681.729241929606,16989.266266735478,17701.415219450842,39.46686857601716,39.63974105297691,39.79020390718702,42.09762439131737,46.44278436899185,19081.34561606331,1.0,64,63,4,459,0.015326090185361217,0.9979341128812637
fully-eager,8192,16,20.0,poisson,16384,4194304,2.1634695837085687,138.4620533573484,17861.604883097945,2501.059849936174,4770.519213207273,4939.273225017363,45.25905260668388,46.638367006496075,46.72795868596979,54.32892283424735,55.65211456269026,6742.735628659113,1.0,64,63,4,115,0.04429408482142857,0.9957646908967391
fully-eager,8192,16,20.0,poisson,16384,16777216,3.799349695567921,243.15838051634694,31367.431086608754,1008.1644727448738,1702.8224921069345,1712.8512752939407,40.65535920450375,49.00187963161558,49.68766746229477,70.00405807048082,89.43083882331848,3696.834073050996,1.0,64,63,4,29,0.08397420247395833,0.9871805125269396
