backend,request_throughput_rps,output_throughput_tok_s,total_throughput_tok_s,ttft_median_ms,ttft_p95_ms,tpot_median_ms,tpot_p95_ms,itl_median_ms,itl_p95_ms,e2e_median_ms,e2e_p95_ms,peak_gpu_memory_bytes,setup_time_s,exact_request_fraction_vs_pytorch_baseline,min_matched_prefix_tokens_vs_pytorch_baseline,output_throughput_vs_pytorch_baseline,output_throughput_vs_custom_kernels
regime-dispatched,1.9133149724498721,489.80863294716727,8326.746760101843,273.6864537000656,460.59433836489916,14.881259528006993,15.26810961647653,14.401378110051155,16.137635335326195,4068.407633341849,4169.7768601588905,4314445312,0.005514403805136681,,,,
vllm,7.585536335271235,1941.8973018294362,33012.25413110042,,,,,,,,,,0.0,,,,
