batch_size,context_length,variant,kernel_family,heads_per_program,num_warps,num_stages,median_ms,speedup_vs_production_default,max_abs_error,status,error
64,8192,candidate-h1-w8-s2,candidate,1,8,2,2.757408022880554,0.824710759218817,3.0517578125e-05,ok,
64,8192,candidate-h2-w4-s2,candidate,2,4,2,2.044592022895813,1.1122336576492449,3.0517578125e-05,ok,
64,8192,candidate-h3-w4-s2,candidate,3,4,2,2.6889759302139282,0.8456989289022606,3.0517578125e-05,ok,
64,8192,candidate-h6-w4-s2,candidate,6,4,2,4.136512041091919,0.5497540056539016,3.0517578125e-05,ok,
64,16384,production-default,production,,,,4.552304029464722,1.0,0.0,ok,
64,16384,production-w4-s2,production,,4,2,4.54257607460022,1.0021415062080954,0.0,ok,
64,16384,production-w8-s2,production,,8,2,9.672240257263184,0.47065663262926666,1.52587890625e-05,ok,
64,16384,candidate-h1-w4-s2,candidate,1,4,2,3.583999991416931,1.270174118405891,3.0517578125e-05,ok,
64,16384,candidate-h1-w8-s2,candidate,1,8,2,5.5032641887664795,0.827200707310599,3.0517578125e-05,ok,
64,16384,candidate-h2-w4-s2,candidate,2,4,2,4.078480005264282,1.1161766206010213,3.0517578125e-05,ok,
64,16384,candidate-h3-w4-s2,candidate,3,4,2,5.270895957946777,0.8636679732980395,3.0517578125e-05,ok,
64,16384,candidate-h6-w4-s2,candidate,6,4,2,8.215407848358154,0.5541178372993981,3.0517578125e-05,ok,
