block_m,block_n,num_warps,num_stages,supported_shapes,total_shapes,winner_count,aggregate_speedup_vs_production,geomean_speedup_vs_production,best_static
32,16,4,2,128,128,0,0.3228028399077209,0.4282770210344167,False
32,32,2,2,128,128,0,0.5441130638561684,0.6282587653901911,False
32,32,4,2,128,128,0,0.5199075511825202,0.6472465589685891,False
64,32,4,2,128,128,73,1.0,1.0,True
64,64,4,2,128,128,38,0.9388102373099665,0.9795072571538003,False
128,64,8,2,128,128,17,0.9112537735718278,0.9345131755689764,False
