batch_size,query_length,prefix_length,context_length,attention_pairs,block_m,block_n,num_warps,num_stages,sdpa_median_ms,triton_median_ms,speedup_vs_sdpa,speedup_vs_production,max_abs_error,status,error
1,256,2048,2304,557184,64,32,4,2,0.2455200031399727,0.16260799765586853,1.509888853434952,1.0,0.0001220703125,ok,
1,256,2048,2304,557184,64,64,4,2,0.2455200031399727,0.14894399791955948,1.648404813684209,1.0917391766514055,0.0001220703125,ok,
1,256,2048,2304,557184,128,64,8,2,0.2455200031399727,0.16499200463294983,1.4880721261989016,0.9855507727032902,0.0001220703125,ok,
1,256,8192,8448,2130048,32,16,4,2,0.6656320095062256,0.7952159941196442,0.8370455504269925,0.5916178868951908,6.103515625e-05,ok,
1,256,8192,8448,2130048,32,32,2,2,0.6656320095062256,0.668256014585495,0.9960733535920406,0.7040176157009842,6.103515625e-05,ok,
1,256,8192,8448,2130048,32,32,4,2,0.6656320095062256,0.507856011390686,1.3106707306338545,0.9263728212609487,6.103515625e-05,ok,
1,256,8192,8448,2130048,64,32,4,2,0.6656320095062256,0.4704640060663223,1.414841520123412,1.0,6.103515625e-05,ok,
1,256,8192,8448,2130048,64,64,4,2,0.6656320095062256,0.42268800735473633,1.5747596286724101,1.1130289903670971,6.103515625e-05,ok,
1,256,8192,8448,2130048,128,64,8,2,0.6656320095062256,0.48028799891471863,1.3859018151823885,0.9795456208137721,6.103515625e-05,ok,
1,256,16384,16640,4227200,32,16,4,2,1.2600959539413452,1.4291680455207825,0.8816989421857468,0.5863327230518695,3.0517578125e-05,ok,
1,256,16384,16640,4227200,32,32,2,2,1.2600959539413452,1.2047839760780334,1.0459102867913055,0.6955338122580106,3.0517578125e-05,ok,
1,256,16384,16640,4227200,32,32,4,2,1.2600959539413452,0.9070880115032196,1.389166142602991,0.9238000956932989,3.0517578125e-05,ok,
1,256,16384,16640,4227200,64,32,4,2,1.2600959539413452,0.8379679918289185,1.503751892946538,1.0,3.0517578125e-05,ok,
