tokens,num_warps,baseline_median_ms,fused_median_ms,speedup,q_max_abs_error,k_max_abs_error,v_max_abs_error,status,error
64,1,0.10041600093245506,0.06641600281000137,1.5119247874600146,4.76837158203125e-07,0.0009765625,0.0,ok,
64,2,0.10041600093245506,0.06526399776339531,1.5386124720170835,4.76837158203125e-07,0.0009765625,0.0,ok,
64,4,0.10041600093245506,0.06428799778223038,1.5619711983036855,4.76837158203125e-07,0.0009765625,0.0,ok,
64,8,0.10041600093245506,0.06388799846172333,1.5717506159254064,4.76837158203125e-07,0.0009765625,0.0,ok,
520,1,0.11848000064492226,0.08441599830985069,1.4035254337695438,0.0009765625,0.0009765625,0.0,ok,
520,2,0.11848000064492226,0.08364799991250038,1.41641163887789,0.0009765625,0.0009765625,0.0,ok,
520,4,0.11848000064492226,0.07180799916386604,1.6499554649134645,0.0009765625,0.0009765625,0.0,ok,
520,8,0.11848000064492226,0.06817599758505821,1.737855034641824,0.0009765625,0.0009765625,0.0,ok,
2048,1,0.09587199985980988,0.07223999872803688,1.3271318043725442,0.001953125,0.001953125,0.0,ok,
2048,2,0.09587199985980988,0.07220799848437309,1.3277199461574611,0.001953125,0.001953125,0.0,ok,
2048,4,0.09587199985980988,0.07900799810886383,1.2134467668413698,0.001953125,0.001953125,0.0,ok,
2048,8,0.09587199985980988,0.09822400286793709,0.9760547021150269,0.001953125,0.001953125,0.0,ok,
4128,1,0.09708800166845322,0.08768000081181526,1.1072992788495752,0.001953125,0.0009765625,0.0,ok,
4128,2,0.09708800166845322,0.08718400076031685,1.1135988348982069,0.001953125,0.0009765625,0.0,ok,
4128,4,0.09708800166845322,0.0997759997844696,0.9730596724480551,0.001953125,0.0009765625,0.0,ok,
4128,8,0.09708800166845322,0.1565920040011406,0.6200061253941551,0.001953125,0.0009765625,0.0,ok,
8200,1,0.13116800040006638,0.11719999834895134,1.1191809065519498,0.001953125,0.0009765625,0.0,ok,
8200,2,0.13116800040006638,0.11710399761795998,1.120098400295341,0.001953125,0.0009765625,0.0,ok,
8200,4,0.13116800040006638,0.14264000207185745,0.9195737415510422,0.001953125,0.0009765625,0.0,ok,
8200,8,0.13116800040006638,0.22574400156736374,0.581047556034063,0.001953125,0.0009765625,0.0,ok,
16384,1,0.20668800175189972,0.17643199861049652,1.1714881845679164,0.001953125,0.0009765625,0.0,ok,
16384,2,0.20668800175189972,0.18079999834299088,1.1431858608748293,0.001953125,0.0009765625,0.0,ok,
16384,4,0.20668800175189972,0.22675199806690216,0.9115156801878207,0.001953125,0.0009765625,0.0,ok,
16384,8,0.20668800175189972,0.3917119950056076,0.5276529807287134,0.001953125,0.0009765625,0.0,ok,
