implementation,decode_requests,decode_context_length,prefill_requests,prefill_tokens,prefill_chunk_size,prefill_prefix_length,decode_only_median_ms,prefill_only_median_ms,mixed_median_ms,decode_only_median_wall_ms,prefill_only_median_wall_ms,mixed_median_wall_ms,incremental_prefill_ms,incremental_decode_ms,decode_stretch,separate_sum_ms,packing_benefit_ms,packing_speedup,wall_incremental_prefill_ms,wall_decode_stretch,wall_packing_benefit_ms,wall_packing_speedup,mixed_scheduled_tokens_per_second,mixed_peak_gpu_memory_bytes,status,error
custom-kernels,1,128,2,512,256,0,13.222816467285156,16.106239318847656,20.20672035217285,13.246050104498863,16.128435730934143,20.229090005159378,6.983903884887695,4.100481033325195,1.5281706739382428,29.329055786132812,9.122335433959961,1.4514505706503245,6.983039900660515,1.527179034170255,9.145395830273628,1.4520913114698248,25387.593387703637,19483428864,ok,
custom-kernels,1,128,2,512,256,4096,13.222816467285156,16.247360229492188,20.252864837646484,13.246050104498863,16.269654035568237,20.27973160147667,7.030048370361328,4.005504608154297,1.5316604361676287,29.470176696777344,9.21731185913086,1.4551115080765025,7.033681496977806,1.5310021811399384,9.235972538590431,1.4554287364393872,25329.749845879775,19483430912,ok,
custom-kernels,1,128,2,512,256,16384,13.222816467285156,29.748767852783203,31.429664611816406,13.246050104498863,29.770884662866592,31.45218826830387,18.20684814453125,1.6808967590332031,2.3769266320512874,42.97158432006836,11.541919708251953,1.3672301264046136,18.206138163805008,2.374457896518262,11.564746499061584,1.367692905829259,16322.159537366833,19483437056,ok,
custom-kernels,1,128,2,2048,1024,0,13.222816467285156,16.454208374023438,20.69526481628418,13.246050104498863,16.476215794682503,20.717190578579903,7.472448348999023,4.241056442260742,1.5651177544123647,29.677024841308594,8.981760025024414,1.4340007293821662,7.471140474081039,1.5640277981089288,9.005075320601463,1.43466681867145,99008.15564281803,19593538560,ok,
custom-kernels,1,128,2,2048,1024,4096,13.222816467285156,22.54934310913086,24.688640594482422,13.246050104498863,22.571861743927002,24.71120096743107,11.465824127197266,2.1392974853515625,1.8671241982043008,35.772159576416016,11.083518981933594,1.4489319263860405,11.465150862932205,1.8655524305346092,11.106710880994797,1.449460586542647,82993.63394102483,19593540608,ok,
custom-kernels,1,128,2,2048,1024,16384,13.222816467285156,43.2982063293457,45.10108947753906,13.246050104498863,43.331725522875786,45.127687975764275,31.878273010253906,1.8028831481933594,3.410853473548892,56.52102279663086,11.419933319091797,1.2532074823775394,31.88163787126541,3.4068788521671975,11.450087651610374,1.2537264407997064,45431.2750254166,19593546752,ok,
custom-kernels,1,128,2,4096,2048,0,13.222816467285156,29.00476837158203,31.881471633911133,13.246050104498863,29.026079922914505,31.909795477986336,18.658655166625977,2.8767032623291016,2.4110953753906923,42.22758483886719,10.346113204956055,1.324518056247795,18.663745373487473,2.4090045882544677,10.362334549427032,1.3247383568025597,128507.24229562144,19733601792,ok,
custom-kernels,1,128,2,4096,2048,4096,13.222816467285156,42.396095275878906,45.358558654785156,13.246050104498863,42.417680844664574,45.38145661354065,32.1357421875,2.96246337890625,3.4303250572226958,55.61891174316406,10.260353088378906,1.2262054481595939,32.135406509041786,3.4260369133080193,10.282274335622787,1.2265743566405232,90324.73961929524,19733603840,ok,
custom-kernels,1,128,2,4096,2048,16384,13.222816467285156,82.60185241699219,85.85391998291016,13.246050104498863,82.62407965958118,85.87644435465336,72.631103515625,3.2520675659179688,6.492861804088646,95.82466888427734,9.970748901367188,1.1161362102435386,72.6303942501545,6.483173751961458,9.99368540942669,1.1163728363991723,47720.59331496497,19733609984,ok,
custom-kernels,1,128,2,8192,4096,0,13.222816467285156,61.747135162353516,67.1593246459961,13.246050104498863,61.769358813762665,67.18256324529648,53.93650817871094,5.412189483642578,5.079048386715218,74.96995162963867,7.810626983642578,1.1162999631817803,53.936513140797615,5.071894090335557,7.83284567296505,1.1165904558354796,121993.48404984966,20020994560,ok,
