backend,request_throughput_rps,output_throughput_tok_s,total_throughput_tok_s,ttft_median_ms,ttft_p95_ms,tpot_median_ms,tpot_p95_ms,itl_median_ms,itl_p95_ms,e2e_median_ms,e2e_p95_ms,peak_gpu_memory_bytes,setup_time_s,exact_request_fraction_vs_pytorch_baseline,min_matched_prefix_tokens_vs_pytorch_baseline,output_throughput_vs_pytorch_baseline,output_throughput_vs_custom_kernels
regime-dispatched,5.095985293958917,652.2861176267414,11088.863999654604,112.90750280022621,177.41183452308178,11.173301647732577,11.5033370281357,10.88741049170494,11.108286678791046,1532.1661587804556,1566.1554548889399,3811405312,0.004504093900322914,,,,
vllm,16.197434525567875,2073.271619272688,35245.617527635695,,,,,,,,,,0.0,,,,
