backend,request_throughput_rps,output_throughput_tok_s,total_throughput_tok_s,ttft_median_ms,ttft_p95_ms,tpot_median_ms,tpot_p95_ms,itl_median_ms,itl_p95_ms,e2e_median_ms,e2e_p95_ms,peak_gpu_memory_bytes,setup_time_s,exact_request_fraction_vs_pytorch_baseline,min_matched_prefix_tokens_vs_pytorch_baseline,output_throughput_vs_pytorch_baseline,output_throughput_vs_custom_kernels
regime-dispatched,21.633733739394305,5538.235837284942,11076.471674569884,74.93919134140015,121.41838669776917,11.137461574638591,11.204486464460691,10.906359180808067,11.719757691025734,2915.1642844080925,2947.8372521698475,4277479424,0.005229432135820389,,,,
vllm,60.53713281742642,15497.506001261163,30995.012002522326,,,,,,,,,,0.0,,,,
