batch_size,context_length,num_kv_blocks,production_median_ms,auto_k,auto_k_median_ms,auto_k_speedup,best_k,best_k_median_ms,best_speedup,successful_configs,failed_configs
1,512,32,0.07039999961853027,4,0.09348800033330917,0.753037816270921,1,0.07039999961853027,1.0,6,0
1,2048,128,0.18145599961280823,16,0.09408000111579895,1.9287414696079987,16,0.09383999928832054,1.9336743498397755,6,0
1,4096,256,0.3290880024433136,32,0.0960800014436245,3.42514568587312,16,0.09351999685168266,3.5189051916375513,6,0
1,8192,512,0.6264159977436066,44,0.10334399715065956,6.061464768296013,44,0.10334399715065956,6.061464768296013,6,0
1,16384,1024,1.2231839895248413,44,0.13972800225019455,8.75403619765943,44,0.13972800225019455,8.75403619765943,6,0
4,512,32,0.07003199681639671,4,0.09460799768567085,0.7402333685263442,1,0.07003199681639671,1.0,6,0
4,2048,128,0.18243199586868286,11,0.10020800307393074,1.8205331936820406,16,0.0995359979569912,1.8328243008877094,6,0
4,4096,256,0.3323360085487366,11,0.13471999764442444,2.4668647146646587,16,0.13310399651527405,2.4968146505698656,6,0
4,8192,512,0.8767519891262054,11,0.20238400250673294,4.332121008907498,11,0.20238400250673294,4.332121008907498,6,0
4,16384,1024,1.7207840085029602,11,0.33641600608825684,5.115047968471281,11,0.33641600608825684,5.115047968471281,6,0
8,512,32,0.07012799754738808,4,0.09400000050663948,0.7460425230788668,1,0.07012799754738808,1.0,6,0
8,2048,128,0.18297600001096725,6,0.1390879973769188,1.3155412649670628,8,0.13342399895191193,1.3713874673844444,6,0
8,4096,256,0.45639999210834503,6,0.2152319997549057,2.120502493254108,8,0.20217599719762802,2.2574390552515085,6,0
8,8192,512,0.8784799873828888,6,0.3625440001487732,2.4230989535681093,8,0.33952000737190247,2.587417437289997,6,0
8,16384,1024,1.7172799706459045,6,0.6636319756507874,2.5876992575016637,8,0.6124320030212402,2.8040336921882676,6,0
16,512,32,0.08806400001049042,3,0.10211200267076492,0.8624255494668062,1,0.08806400001049042,1.0,6,0
16,2048,128,0.2687840014696121,3,0.21512000262737274,1.2494607576553225,4,0.20191999524831772,1.3311410845620624,6,0
16,4096,256,0.5039680004119873,3,0.3641919940710068,1.3837975809916576,16,0.3360320031642914,1.4997619145388046,6,0
16,8192,512,0.9771680235862732,3,0.6645919978618622,1.4703276998971346,16,0.6052320003509521,1.6145346297281848,6,0
16,16384,1024,1.9099519848823547,3,1.266480028629303,1.508079039311401,16,1.139136016368866,1.6766671911318878,6,0
32,512,32,0.10756799951195717,2,0.13232000172138214,0.8129383170539576,1,0.10756799951195717,1.0,6,0
32,2048,128,0.3298240005970001,2,0.3367200046777725,0.9795200641928845,1,0.3298240005970001,1.0,6,0
32,4096,256,0.6287040114402771,2,0.6085920035839081,1.0330467829645023,16,0.5942879915237427,1.0579113500649617,6,0
32,8192,512,1.199999988079071,2,1.155951976776123,1.038105399002643,16,1.113856017589569,1.0773385151484132,6,0
32,16384,1024,2.4425759315490723,2,2.2429120540618896,1.0890199315330236,16,2.157871961593628,1.131937378594597,6,0
64,512,32,0.17083200067281723,1,0.17083200067281723,1.0,1,0.17083200067281723,1.0,6,0
64,2048,128,0.5867680013179779,1,0.5867680013179779,1.0,1,0.5867680013179779,1.0,6,0
64,4096,256,1.1536160111427307,1,1.1536160111427307,1.0,8,1.1135839819908142,1.0359488191275426,6,0
64,8192,512,2.2742398977279663,1,2.2742398977279663,1.0,16,2.155503988265991,1.0550849871344905,6,0
64,16384,1024,4.513520002365112,1,4.513520002365112,1.0,16,4.236144065856934,1.0654784002139617,6,0
128,512,32,0.30532799661159515,1,0.30532799661159515,1.0,1,0.30532799661159515,1.0,6,0
128,2048,128,1.1335999965667725,1,1.1335999965667725,1.0,4,1.1145280003547668,1.0171121732302237,6,0
128,4096,256,2.2349120378494263,1,2.2349120378494263,1.0,16,2.1520479917526245,1.0385047389344313,6,0
128,8192,512,4.437519788742065,1,4.437519788742065,1.0,16,4.218384027481079,1.0519477979798437,6,0
128,16384,1024,8.837167739868164,1,8.837167739868164,1.0,16,8.352880001068115,1.057978534198758,6,0
192,512,32,0.44073599576950073,1,0.44073599576950073,1.0,1,0.44073599576950073,1.0,6,0
192,2048,128,1.6721439957618713,1,1.6721439957618713,1.0,4,1.6280800104141235,1.0270649999176267,6,0
192,4096,256,3.30731201171875,1,3.30731201171875,1.0,8,3.181135892868042,1.0396638569051981,6,0
192,8192,512,6.578815937042236,1,6.578815937042236,1.0,8,6.279023885726929,1.047745008901268,6,0
192,16384,1024,13.118800163269043,1,13.118800163269043,1.0,16,12.469168186187744,1.052099062854963,6,0
256,512,32,0.5738719999790192,1,0.5738719999790192,1.0,1,0.5738719999790192,1.0,6,0
256,2048,128,2.1991039514541626,1,2.1991039514541626,1.0,8,2.1532639265060425,1.0212886234631264,6,0
256,4096,256,4.36299204826355,1,4.36299204826355,1.0,8,4.219055891036987,1.0341157265852634,6,0
256,8192,512,8.682975769042969,1,8.682975769042969,1.0,16,8.342976093292236,1.040752804748427,6,0
256,16384,1024,17.33086395263672,1,17.33086395263672,1.0,16,16.583696365356445,1.0450543455945753,6,0
