batch_size,vocab_size,serial_median_ms,batched_median_ms,speedup,serial_argmax_launches,batched_argmax_launches,status
1,151936,0.036100999999999994,0.036724,0.9830356170351812,1,1,ok
8,151936,0.243198,0.036458000000000004,6.670634702945855,8,1,ok
32,151936,0.931027,0.0447525,20.80391039606726,32,1,ok
64,151936,1.8530405,0.045190499999999995,41.00508956528475,64,1,ok
128,151936,3.700641,0.0566085,65.37253239354514,128,1,ok
