rows,hidden_size,baseline_median_ms,best_fused_median_ms,best_speedup,best_block_size,best_num_warps,successful_configurations,failed_configurations
1,8960,0.01720000058412552,0.02403199952095747,0.71571242206151,256,4,8,0
8,8960,0.016527999192476273,0.023680000565946102,0.6979729221900852,512,8,8,0
32,8960,0.016863999888300896,0.023807999677956104,0.7083333382230899,256,8,8,0
64,8960,0.01655999943614006,0.02411200013011694,0.6867949297767255,512,4,8,0
520,8960,0.021727999672293663,0.02483200002461672,0.874999985935649,1024,8,8,0
2048,8960,0.07267200201749802,0.055456001311540604,1.3104443216026593,1024,4,8,0
4128,8960,0.13547199964523315,0.09108800068497658,1.487265047278362,512,4,8,0
8200,8960,0.2566400021314621,0.16126400232315063,1.5914277112953654,1024,8,8,0
16384,8960,0.502240002155304,0.3039039969444275,1.652627169122572,1024,8,8,0
