rows,hidden_size,block_size,num_warps,baseline_median_ms,fused_median_ms,speedup,baseline_effective_gbps,fused_effective_gbps,max_abs_error,status,error
1,8960,128,4,0.01720000058412552,0.02551999967545271,0.6739812226827703,5.2093021486694004,2.106583098890511,0.00390625,ok,
1,8960,128,8,0.01720000058412552,0.025071999989449978,0.6860242737461347,5.2093021486694004,2.1442246339590625,0.00390625,ok,
1,8960,256,4,0.01720000058412552,0.02403199952095747,0.71571242206151,5.2093021486694004,2.237017354844643,0.00390625,ok,
1,8960,256,8,0.01720000058412552,0.0243520000949502,0.7063075113773604,5.2093021486694004,2.207621541983652,0.00390625,ok,
1,8960,512,4,0.01720000058412552,0.025743999518454075,0.6681168779464915,5.2093021486694004,2.08825361270937,0.00390625,ok,
1,8960,512,8,0.01720000058412552,0.025040000677108765,0.6869009632196029,5.2093021486694004,2.1469647981737747,0.00390625,ok,
1,8960,1024,4,0.01720000058412552,0.024752000346779823,0.6948933558157128,5.2093021486694004,2.1719456709281295,0.00390625,ok,
1,8960,1024,8,0.01720000058412552,0.02518399991095066,0.6829733420006291,5.2093021486694004,2.134688698780679,0.00390625,ok,
8,8960,128,4,0.016527999192476273,0.024960000067949295,0.6621794530241044,43.36883077331557,17.23076918386143,0.00390625,ok,
8,8960,128,8,0.016527999192476273,0.024464000016450882,0.6756049371060323,43.36883077331557,17.58011771218082,0.00390625,ok,
8,8960,256,4,0.016527999192476273,0.02417599968612194,0.683653185268862,43.36883077331557,17.789543579738062,0.00390625,ok,
8,8960,256,8,0.016527999192476273,0.024143999442458153,0.6845592931637975,43.36883077331557,17.813121683712755,0.00390625,ok,
8,8960,512,4,0.016527999192476273,0.024431999772787094,0.6764898226172025,43.36883077331557,17.603143582173434,0.00390625,ok,
8,8960,512,8,0.016527999192476273,0.023680000565946102,0.6979729221900852,43.36883077331557,18.162161728091018,0.00390625,ok,
8,8960,1024,4,0.016527999192476273,0.024447999894618988,0.6760470903026341,43.36883077331557,17.5916231124764,0.00390625,ok,
8,8960,1024,8,0.016527999192476273,0.024128000251948833,0.6850132219781163,43.36883077331557,17.824933500871552,0.00390625,ok,
32,8960,128,4,0.016863999888300896,0.02459200005978346,0.6857514576815347,170.01897645819304,69.95445656383706,0.00390625,ok,
32,8960,128,8,0.016863999888300896,0.02407999988645315,0.7003322245773012,170.01897645819304,71.44186080199327,0.00390625,ok,
32,8960,256,4,0.016863999888300896,0.02411200013011694,0.6994027785872904,170.01897645819304,71.34704672845639,0.00390625,ok,
32,8960,256,8,0.016863999888300896,0.023807999677956104,0.7083333382230899,170.01897645819304,72.25806549354287,0.00390625,ok,
32,8960,512,4,0.016863999888300896,0.024768000468611717,0.6808785355795073,170.01897645819304,69.45736302694871,0.00390625,ok,
32,8960,512,8,0.016863999888300896,0.02454400062561035,0.6870925463839914,170.01897645819304,70.09126288095584,0.00390625,ok,
32,8960,1024,4,0.016863999888300896,0.024815999902784824,0.6795615713396435,170.01897645819304,69.32301767969253,0.00390625,ok,
32,8960,1024,8,0.016863999888300896,0.024287999607622623,0.6943346574745597,170.01897645819304,70.83004066996482,0.00390625,ok,
64,8960,128,4,0.01655999943614006,0.024639999493956566,0.6720779129967807,346.2802050273874,139.6363665041423,0.0078125,ok,
64,8960,128,8,0.01655999943614006,0.024464000016450882,0.6769129915387608,346.2802050273874,140.64094169744655,0.0078125,ok,
64,8960,256,4,0.01655999943614006,0.024288000538945198,0.681818143473215,346.2802050273874,141.66007590797852,0.0078125,ok,
64,8960,256,8,0.01655999943614006,0.024128000251948833,0.6863394920100143,346.2802050273874,142.59946800697242,0.0078125,ok,
64,8960,512,4,0.01655999943614006,0.02411200013011694,0.6867949297767255,346.2802050273874,142.69409345691278,0.0078125,ok,
64,8960,512,8,0.01655999943614006,0.024224000051617622,0.6836195261250514,346.2802050273874,142.03434580038495,0.0078125,ok,
64,8960,1024,4,0.01655999943614006,0.02425600029528141,0.682717646542968,346.2802050273874,141.84696397242863,0.0078125,ok,
64,8960,1024,8,0.01655999943614006,0.0248800003901124,0.665594822205919,346.2802050273874,138.28938689917987,0.0078125,ok,
520,8960,128,4,0.021727999672293663,0.04150399938225746,0.5235158056016684,2144.3299292484585,673.5543662317652,0.0078125,ok,
520,8960,128,8,0.021727999672293663,0.04129600152373314,0.5261526266606322,2144.3299292484585,676.9468948206505,0.0078125,ok,
520,8960,256,4,0.021727999672293663,0.030559999868273735,0.7109947567392129,2144.3299292484585,914.7644018487726,0.0078125,ok,
520,8960,256,8,0.021727999672293663,0.030256000347435474,0.7181385319535584,2144.3299292484585,923.9555684487394,0.0078125,ok,
520,8960,512,4,0.021727999672293663,0.025599999353289604,0.8487500086401999,2144.3299292484585,1092.000027586241,0.0078125,ok,
520,8960,512,8,0.021727999672293663,0.0261439997702837,0.8310893460529541,2144.3299292484585,1069.2778551725273,0.0078125,ok,
520,8960,1024,4,0.021727999672293663,0.02596799936145544,0.836722127486831,2144.3299292484585,1076.5249802606734,0.0078125,ok,
520,8960,1024,8,0.021727999672293663,0.02483200002461672,0.874999985935649,2144.3299292484585,1125.7731947602754,0.0078125,ok,
2048,8960,128,4,0.07267200201749802,0.10568000003695488,0.6876608818327554,2525.054971731982,1041.828917122439,0.0078125,ok,
2048,8960,128,8,0.07267200201749802,0.12616000324487686,0.5760304387155214,2525.054971731982,872.7051138885492,0.0078125,ok,
2048,8960,256,4,0.07267200201749802,0.06312000006437302,1.1513308292677975,2525.054971731982,1744.3041807305747,0.0078125,ok,
2048,8960,256,8,0.07267200201749802,0.07793599739670753,0.9324574579777958,2525.054971731982,1412.7038041172395,0.0078125,ok,
2048,8960,512,4,0.07267200201749802,0.055504001677036285,1.309311037433985,2525.054971731982,1983.6494067697456,0.0078125,ok,
2048,8960,512,8,0.07267200201749802,0.05987200140953064,1.2137894225451735,2525.054971731982,1838.9310096200293,0.0078125,ok,
2048,8960,1024,4,0.07267200201749802,0.055456001311540604,1.3104443216026593,2525.054971731982,1985.366369664444,0.0078125,ok,
2048,8960,1024,8,0.07267200201749802,0.05551999993622303,1.3089337554210707,2525.054971731982,1983.0778120762732,0.0078125,ok,
4128,8960,128,4,0.13547199964523315,0.19324799627065659,0.7010266717358128,2730.2232267080485,1148.3755810289726,0.0078125,ok,
4128,8960,128,8,0.13547199964523315,0.23420799523591995,0.5784260247340015,2730.2232267080485,947.539300596705,0.0078125,ok,
4128,8960,256,4,0.13547199964523315,0.10619200021028519,1.2757269792165762,2730.2232267080485,2089.811657757115,0.0078125,ok,
4128,8960,256,8,0.13547199964523315,0.13787200301885605,0.9825925255231502,2730.2232267080485,1609.618161343815,0.0078125,ok,
4128,8960,512,4,0.13547199964523315,0.09108800068497658,1.487265047278362,2730.2232267080485,2436.3393458102564,0.0078125,ok,
4128,8960,512,8,0.13547199964523315,0.10038399696350098,1.349537812232063,2730.2232267080485,2210.7236881660456,0.0078125,ok,
4128,8960,1024,4,0.13547199964523315,0.09179199859499931,1.4758584813362312,2730.2232267080485,2417.6538630469468,0.0078125,ok,
4128,8960,1024,8,0.13547199964523315,0.09124800190329552,1.484657163110335,2730.2232267080485,2432.0672822533893,0.0078125,ok,
8200,8960,128,4,0.2566400021314621,0.36635199189186096,0.7005284748314309,2862.842868991424,1203.3017692179599,0.0078125,ok,
8200,8960,128,8,0.2566400021314621,0.4440319985151291,0.5779763687970291,2862.842868991424,992.793315513679,0.0078125,ok,
8200,8960,256,4,0.2566400021314621,0.1939999982714653,1.322886620711946,2862.842868991424,2272.3299171536137,0.0078125,ok,
8200,8960,256,8,0.2566400021314621,0.2545280009508133,1.0082977164506821,2862.842868991424,1731.9587564167032,0.0078125,ok,
8200,8960,512,4,0.2566400021314621,0.16166400164365768,1.5874900999738457,2862.842868991424,2726.8408273827636,0.0078125,ok,
8200,8960,512,8,0.2566400021314621,0.1791519969701767,1.4325266057412955,2862.842868991424,2460.6591467321737,0.0078125,ok,
8200,8960,1024,4,0.2566400021314621,0.16315200179815292,1.5730116658266313,2862.842868991424,2701.9711382112555,0.0078125,ok,
8200,8960,1024,8,0.2566400021314621,0.16126400232315063,1.5914277112953654,2862.842868991424,2733.604484878367,0.0078125,ok,
16384,8960,128,4,0.502240002155304,0.7128639817237854,0.704538334144518,2922.9181142486123,1235.584715432132,0.0078125,ok,
16384,8960,128,8,0.502240002155304,0.8717280030250549,0.5761430175610278,2922.9181142486123,1010.4113174561908,0.0078125,ok,
16384,8960,256,4,0.502240002155304,0.36740800738334656,1.366981644554296,2922.9181142486123,2397.3452464278657,0.0078125,ok,
16384,8960,256,8,0.502240002155304,0.48953600227832794,1.025951104347486,2922.9181142486123,1799.2626403383808,0.0078125,ok,
16384,8960,512,4,0.502240002155304,0.3046559989452362,1.648547883167023,2922.9181142486123,2891.1422819490576,0.0078125,ok,
16384,8960,512,8,0.502240002155304,0.3396800011396408,1.4785680654447346,2922.9181142486123,2593.0400289827653,0.0078125,ok,
