batch_size,context_length,heads_per_program,num_warps,num_programs,kv_read_factor,production_median_ms,grouped_median_ms,speedup,production_gbps,grouped_gbps,max_abs_error,status,error
1,256,1,4,12,6,0.05352000147104263,0.06371200084686279,0.8400301475334687,29.38833999941141,24.687091585469307,1.52587890625e-05,ok,
1,256,1,8,12,6,0.05352000147104263,0.061792001128196716,0.8661315460557332,29.38833999941141,25.454168359701754,1.52587890625e-05,ok,
1,256,2,4,6,3,0.05352000147104263,0.0785600021481514,0.681262729220814,29.38833999941141,10.010590357634117,1.52587890625e-05,ok,
1,256,2,8,6,3,0.05352000147104263,0.07550400123000145,0.708836625863167,29.38833999941141,10.415765882451167,1.52587890625e-05,ok,
1,256,3,4,4,2,0.05352000147104263,0.0968800000846386,0.5524360180045956,29.38833999941141,5.411725841680007,1.52587890625e-05,ok,
1,256,3,8,4,2,0.05352000147104263,0.09211200103163719,0.5810317968519696,29.38833999941141,5.691853332118208,1.52587890625e-05,ok,
1,256,6,4,2,1,0.05352000147104263,0.14033599942922592,0.3813704372984765,29.38833999941141,1.867974012841973,1.52587890625e-05,ok,
1,256,6,8,2,1,0.05352000147104263,0.13233599811792374,0.40442511661378266,29.38833999941141,1.9808971385579093,1.52587890625e-05,ok,
1,512,1,4,12,6,0.07108800113201141,0.08567999675869942,0.8296919213502839,44.25118092937145,36.71484732730924,1.9073486328125e-06,ok,
1,512,1,8,12,6,0.07108800113201141,0.0811999998986721,0.8754679953290732,44.25118092937145,38.740492659180944,1.9073486328125e-06,ok,
1,512,2,4,6,3,0.07108800113201141,0.11552000045776367,0.6153739685796015,44.25118092937145,13.615512411420646,1.9073486328125e-06,ok,
1,512,2,8,6,3,0.07108800113201141,0.10844799876213074,0.6555031161795384,44.25118092937145,14.503393496913775,1.9073486328125e-06,ok,
1,512,3,4,4,2,0.07108800113201141,0.15200000256299973,0.46768421008774286,44.25118092937145,6.898526199467627,1.9073486328125e-06,ok,
1,512,3,8,4,2,0.07108800113201141,0.14281600713729858,0.4977593377447513,44.25118092937145,7.342146171275702,1.9073486328125e-06,ok,
1,512,6,4,2,1,0.07108800113201141,0.2383520007133484,0.2982479732465291,44.25118092937145,2.1996375043250826,1.9073486328125e-06,ok,
1,512,6,8,2,1,0.07108800113201141,0.2226240038871765,0.31931867135063324,44.25118092937145,2.3550380500105623,1.9073486328125e-06,ok,
1,1024,1,4,12,6,0.10867200046777725,0.1294879987835884,0.8392438024268128,57.893992683658226,48.58717455750342,6.103515625e-05,ok,
1,1024,1,8,12,6,0.10867200046777725,0.1202079989016056,0.9040330216022399,57.893992683658226,52.33808113842552,6.103515625e-05,ok,
1,1024,2,4,6,3,0.10867200046777725,0.1894880011677742,0.5735033342378137,57.893992683658226,16.601198918208794,6.103515625e-05,ok,
1,1024,2,8,6,3,0.10867200046777725,0.17654399573802948,0.615551947906706,57.893992683658226,17.818379984261206,6.103515625e-05,ok,
1,1024,3,4,4,2,0.10867200046777725,0.2640320062637329,0.41158646637418783,57.893992683658226,7.942794624319992,6.103515625e-05,ok,
1,1024,3,8,4,2,0.10867200046777725,0.24430400133132935,0.4448228431608633,57.893992683658226,8.584190142493023,6.103515625e-05,ok,
1,1024,6,4,2,1,0.10867200046777725,0.4355199933052063,0.2495224149023658,57.893992683658226,2.407641477127716,6.103515625e-05,ok,
1,1024,6,8,2,1,0.10867200046777725,0.40411199629306793,0.2689155517891796,57.893992683658226,2.59476583130078,6.103515625e-05,ok,
1,2048,1,4,12,6,0.18360000103712082,0.2178720012307167,0.8426966292134831,68.5343786978299,57.753689913901596,1.52587890625e-05,ok,
1,2048,1,8,12,6,0.18360000103712082,0.1993280053138733,0.921094859440417,68.5343786978299,63.12666391351394,5.960464477539063e-08,ok,
1,2048,2,4,6,3,0.18360000103712082,0.3380479961633682,0.5431181463013097,68.5343786978299,18.611132358138672,1.52587890625e-05,ok,
1,2048,2,8,6,3,0.18360000103712082,0.3099680095911026,0.5923191921621802,68.5343786978299,20.297113912817768,5.960464477539063e-08,ok,
1,2048,3,4,4,2,0.18360000103712082,0.48657599091529846,0.3773305803513871,68.5343786978299,8.620038962691298,1.52587890625e-05,ok,
1,2048,3,8,4,2,0.18360000103712082,0.44649599492549896,0.41120189906239984,68.5343786978299,9.393822223869778,5.960464477539063e-08,ok,
1,2048,6,4,2,1,0.18360000103712082,0.8304480016231537,0.22108548720481608,68.5343786978299,2.5253260841148486,1.52587890625e-05,ok,
1,2048,6,8,2,1,0.18360000103712082,0.7666079998016357,0.23949658897980244,68.5343786978299,2.7356249876633822,5.960464477539063e-08,ok,
1,4096,1,4,12,6,0.332720011472702,0.39473599195480347,0.8428925110806664,75.63664081583121,63.75355810696239,3.814697265625e-06,ok,
1,4096,1,8,12,6,0.332720011472702,0.35763199627399445,0.9303418456378649,75.63664081583121,70.36793201444866,1.1920928955078125e-07,ok,
1,4096,2,4,6,3,0.332720011472702,0.6338240206241608,0.5249406785578348,75.63664081583121,19.852374776848826,3.814697265625e-06,ok,
1,4096,2,8,6,3,0.332720011472702,0.5782879889011383,0.575353487982581,75.63664081583121,21.758902556337066,1.1920928955078125e-07,ok,
1,4096,3,4,4,2,0.332720011472702,0.9331520199775696,0.3565549924873974,75.63664081583121,8.989540632620223,3.814697265625e-06,ok,
1,4096,3,8,4,2,0.332720011472702,0.8521760106086731,0.39043578712695076,75.63664081583121,9.843750464189169,1.1920928955078125e-07,ok,
1,4096,6,4,2,1,0.332720011472702,1.6200799942016602,0.20537258201046987,75.63664081583121,2.588948703157625,3.814697265625e-06,ok,
1,4096,6,8,2,1,0.332720011472702,1.4915040135383606,0.22307684622542565,75.63664081583121,2.812130548713488,1.1920928955078125e-07,ok,
1,8192,1,4,12,6,0.6314080059528351,0.7481440007686615,0.8439658746232156,79.71335099567882,67.27534799221544,4.76837158203125e-07,ok,
1,8192,1,8,12,6,0.6314080059528351,0.673471987247467,0.9375416021881612,79.71335099567882,74.73458280827596,4.76837158203125e-07,ok,
1,8192,2,4,6,3,0.6314080059528351,1.2278560400009155,0.5142361851739267,79.71335099567882,20.495744761724048,4.76837158203125e-07,ok,
1,8192,2,8,6,3,0.6314080059528351,1.1152640581130981,0.5661511292860156,79.71335099567882,22.564901842688045,4.76837158203125e-07,ok,
1,8192,3,4,4,2,0.6314080059528351,1.8232319951057434,0.3463124866433768,79.71335099567882,9.201909600663276,4.76837158203125e-07,ok,
1,8192,3,8,4,2,0.6314080059528351,1.6619519591331482,0.37991952925171735,79.71335099567882,10.09488626178507,4.76837158203125e-07,ok,
1,8192,6,4,2,1,0.6314080059528351,3.199488043785095,0.19734657461193683,79.71335099567882,2.6218594616393727,4.76837158203125e-07,ok,
1,8192,6,8,2,1,0.6314080059528351,2.9419360160827637,0.21462329653027779,79.71335099567882,2.851390361361281,4.76837158203125e-07,ok,
1,12288,1,4,12,6,0.9296800196170807,1.1010560393333435,0.8443530450820416,81.2080182502966,68.56823749471594,1.52587890625e-05,ok,
1,12288,1,8,12,6,0.9296800196170807,0.9889280200004578,0.9400886624859213,81.2080182502966,76.34273726005362,1.52587890625e-05,ok,
1,12288,2,4,6,3,0.9296800196170807,1.820032000541687,0.5108042162667386,81.2080182502966,20.74069905845888,1.52587890625e-05,ok,
1,12288,2,8,6,3,0.9296800196170807,1.6516640186309814,0.5628747790895552,81.2080182502966,22.854972666468136,1.52587890625e-05,ok,
1,12288,3,4,4,2,0.9296800196170807,2.7129600048065186,0.3426810634767847,81.2080182502966,9.276150018951261,1.52587890625e-05,ok,
1,12288,3,8,4,2,0.9296800196170807,2.4706079959869385,0.37629604580215875,81.2080182502966,10.186085385005386,1.52587890625e-05,ok,
1,12288,6,4,2,1,0.9296800196170807,4.778240203857422,0.19456535878346173,81.2080182502966,2.633377867827145,1.52587890625e-05,ok,
1,12288,6,8,2,1,0.9296800196170807,4.391999959945679,0.21167578053178743,81.2080182502966,2.8649617747618623,1.52587890625e-05,ok,
1,16384,1,4,12,6,1.2291200160980225,1.4560959935188293,0.8441201827138523,81.8986711481331,69.1323212535838,7.62939453125e-06,ok,
1,16384,1,8,12,6,1.2291200160980225,1.3066080212593079,0.9406952935383004,81.8986711481331,77.0416944960898,7.62939453125e-06,ok,
1,16384,2,4,6,3,1.2291200160980225,2.413424015045166,0.5092847375495351,81.8986711481331,20.85487162066632,7.62939453125e-06,ok,
1,16384,2,8,6,3,1.2291200160980225,2.189455986022949,0.5613814682480396,81.8986711481331,22.988198128351158,7.62939453125e-06,ok,
1,16384,3,4,4,2,1.2291200160980225,3.605215907096863,0.34092826831217,81.8986711481331,9.30719071053363,7.62939453125e-06,ok,
1,16384,3,8,4,2,1.2291200160980225,3.28275203704834,0.3744175625287787,81.8986711481331,10.221433608543334,7.62939453125e-06,ok,
1,16384,6,4,2,1,1.2291200160980225,6.357039928436279,0.1933478521347536,81.8986711481331,2.639155359863675,7.62939453125e-06,ok,
