batch_size,context_length,production_median_ms,production_gbps,best_heads_per_program,best_num_warps,best_grouped_median_ms,best_speedup,best_gbps,successful_configs,failed_configs
1,256,0.05352000147104263,29.38833999941141,1,8,0.061792001128196716,0.8661315460557332,25.454168359701754,8,0
1,512,0.07108800113201141,44.25118092937145,1,8,0.0811999998986721,0.8754679953290732,38.740492659180944,8,0
1,1024,0.10867200046777725,57.893992683658226,1,8,0.1202079989016056,0.9040330216022399,52.33808113842552,8,0
1,2048,0.18360000103712082,68.5343786978299,1,8,0.1993280053138733,0.921094859440417,63.12666391351394,8,0
1,4096,0.332720011472702,75.63664081583121,1,8,0.35763199627399445,0.9303418456378649,70.36793201444866,8,0
1,8192,0.6314080059528351,79.71335099567882,1,8,0.673471987247467,0.9375416021881612,74.73458280827596,8,0
1,12288,0.9296800196170807,81.2080182502966,1,8,0.9889280200004578,0.9400886624859213,76.34273726005362,8,0
1,16384,1.2291200160980225,81.8986711481331,1,8,1.3066080212593079,0.9406952935383004,77.0416944960898,8,0
2,256,0.05257599987089634,59.832014754346694,1,8,0.061264000833034515,0.8581875025463,51.347087314346176,8,0
2,512,0.07087999954819679,88.76207731522278,1,8,0.08103999868035316,0.8746298211056178,77.63395980317631,8,0
2,1024,0.10857599973678589,115.89036279199803,1,8,0.12105599790811539,0.896907229819359,103.94290425453147,8,0
2,2048,0.18244799971580505,137.9342280496372,1,8,0.19912000000476837,0.9162715935688828,126.38521494273478,8,0
2,4096,0.3319680094718933,151.61595865839422,1,8,0.3574400097131729,0.9287376915031992,140.81145543944152,8,0
2,8192,0.6279360055923462,160.30820832616857,1,8,0.673471987247467,0.9323862276124802,149.46916561655192,8,0
2,12288,0.9409439861774445,160.47176688318316,1,8,0.9978559911251068,0.9429657130349113,151.31937408097286,8,0
2,16384,1.7178879976272583,117.19424798244803,1,8,1.5410879850387573,1.1147241522255165,130.63925872794132,8,0
4,256,0.05257599987089634,119.66402950869339,1,8,0.060975998640060425,0.8622408987715143,103.17922035419681,8,0
4,512,0.07127999886870384,176.5279489296491,1,8,0.08100799843668938,0.8799130980184838,155.32925442953626,8,0
4,1024,0.10851199924945831,231.91743009126822,1,8,0.12070400267839432,0.8989925507158153,208.49204203320602,8,0
4,2048,0.1833600029349327,274.4963306848372,1,8,0.20020800083875656,0.9158475294032186,251.396786287957,8,0
4,4096,0.3330719918012619,302.22684127719754,1,8,0.35899199545383453,0.9277978228461479,280.4054053426521,8,0
4,8192,0.8755680024623871,229.9382702814664,1,8,0.7915360033512115,1.1061632051547878,254.34925404229477,8,0
4,12288,1.2988960146903992,232.4973551266006,1,8,1.1667519807815552,1.1132580326286026,258.82954815959295,8,0
4,16384,1.717631995677948,234.42343005555918,1,8,1.540399968624115,1.115055849561031,261.3952169576125,8,0
8,256,0.052400000393390656,240.13190659416702,1,8,0.060736000537872314,0.8627502622718186,207.17386539394943,8,0
8,512,0.07156800106167793,351.63513898218105,1,8,0.08132800087332726,0.8799921342361403,309.4361564253513,8,0
8,1024,0.10838399827480316,464.3826468957731,1,8,0.12083200365304947,0.8969808908077959,416.54236028825267,8,0
8,2048,0.18376000225543976,547.7976423839541,1,8,0.20051199942827225,0.9164538919336592,502.03128135485764,8,0
8,4096,0.4562879949808121,441.2270193706635,1,8,0.4174879938364029,1.0929368070872318,482.2332497515892,8,0
8,8192,0.8773600161075592,458.9372396822755,1,8,0.79203200340271,1.107733036466033,508.37994206058653,8,0
8,12288,1.2987679839134216,465.0405487977154,1,8,1.16457599401474,1.1152281951442864,518.6263319045845,8,0
8,16384,1.723792016506195,467.1714222416494,1,8,1.5398240089416504,1.1194733985807828,522.9859797766773,8,0
12,256,0.06108799949288368,308.97014400019316,1,8,0.06985600292682648,0.874484610247065,270.18963595398844,8,0
12,512,0.08841600269079208,426.94461241382567,1,8,0.09787200018763542,0.9033840375315232,385.6949477647332,8,0
12,1024,0.14243199676275253,530.0597738986651,1,8,0.15359999984502792,0.9272916465264117,491.52000049591066,8,0
12,2048,0.2526400089263916,597.6683766029845,1,8,0.26607999205589294,0.9494889374219534,567.4795118314717,8,0
12,4096,0.4718399941921234,640.0260506044259,1,8,0.48920001089572906,0.9645134580601924,617.3137393170825,8,0
12,8192,0.9081279933452606,665.0822135491348,1,8,0.9492640197277069,0.9566653475455164,636.2611069713245,8,0
12,12288,1.3438559770584106,674.156814023399,1,4,1.4161760210990906,0.9489328706578773,639.7295608047926,8,0
12,16384,1.7804319858551025,678.4643061890644,1,4,1.8921440243721008,0.9409600764645443,638.4078254301259,8,0
16,256,0.06180800125002861,407.1612653869527,1,8,0.07043199986219406,0.8775556759847938,357.30667948147124,8,0
16,512,0.08875199779868126,567.1043948122581,1,8,0.09843199700117111,0.901658002505276,511.334215838384,8,0
16,1024,0.14372800290584564,700.3735804075926,1,8,0.15463999658823013,0.9294361489709512,650.9525234150298,8,0
16,2048,0.27054400742053986,744.154690098359,1,8,0.27878400683403015,0.9704430698623402,722.15976191151,8,0
16,4096,0.5054560005664825,796.6137182044179,1,8,0.5140480101108551,0.983285589331394,783.298789374104,8,0
16,8192,0.9809440076351166,820.9503924097074,1,8,0.9886080026626587,0.9922476906853875,814.5861310357949,8,0
16,12288,1.449392020702362,833.4250049304355,1,8,1.46971195936203,0.9861742033667003,821.9022403031605,8,0
16,16384,1.9236159920692444,837.2839187448503,1,4,1.938048005104065,0.9925533253062813,831.0489377756754,8,0
24,256,0.07103999704122543,531.3729951043483,1,4,0.07702399790287018,0.9223099160706931,490.09058251692426,8,0
24,512,0.10755199939012527,701.9625151378792,1,4,0.11231999844312668,0.9575498653927094,672.164111881004,8,0
24,1024,0.17899199575185776,843.5848953230793,1,4,0.18140799552202225,0.9866819554275313,832.3499940865053,8,0
24,2048,0.3216799944639206,938.7897699490634,1,4,0.31881600618362427,1.0089832010462072,947.2231071926383,8,0
24,4096,0.6239999830722809,967.9163339497048,1,4,0.6013280153274536,1.0377031622790454,1004.4098405611492,8,0
24,8192,1.2364000082015991,976.9973665375762,1,4,1.2005760073661804,1.0298390111210112,1006.1500018228896,8,0
24,12288,1.8618080019950867,973.214921226223,1,4,1.7968000173568726,1.0361798664349091,1008.4257070886484,8,0
24,16384,2.4849759340286255,972.2102620460106,1,4,2.38699209690094,1.041049083176647,1012.118601957927,8,0
32,256,0.07171200215816498,701.8580779405745,1,4,0.07679999992251396,0.9337500290431975,655.3600006612141,8,0
32,512,0.10931199789047241,920.8805798322508,1,4,0.11214399710297585,0.9747467605430279,897.6253620384715,8,0
32,1024,0.1823519989848137,1104.0547573968001,1,4,0.18692799657583237,0.9755199987436751,1077.0274955486748,8,0
32,2048,0.32843200862407684,1225.9864246693344,1,4,0.3312160074710846,0.9915946126267741,1215.6815338556726,8,0
32,4096,0.6207999885082245,1297.207446693326,1,4,0.6177759766578674,1.004894997482286,1303.5572738788926,8,0
32,8192,1.1996960043907166,1342.5173794906264,1,4,1.1929759979248047,1.0056329770905712,1350.0797491329913,8,0
32,12288,1.8120319843292236,1333.265154750744,1,4,1.8023359775543213,1.005379688856935,1340.4377064470964,8,0
32,16384,2.398176074028015,1343.1980691015642,1,4,2.3629599809646606,1.0149033810758732,1363.216261785762,8,0
48,256,0.09167999774217606,823.4890255158512,1,4,0.09747199714183807,0.9405778113765978,774.5555053123466,8,0
48,512,0.1488960012793541,1014.0967030854505,1,4,0.1525920033454895,0.9757785337035838,989.5337939703594,8,0
48,1024,0.2635200023651123,1145.984689168251,1,4,0.264847993850708,0.9949858352095192,1140.2385330893933,8,0
48,2048,0.4946880042552948,1220.9307094665323,1,4,0.49848000705242157,0.9923928688343001,1211.642929415389,8,0
