tokens,num_warps,baseline_median_ms,fused_median_ms,speedup,q_max_abs_error,k_max_abs_error,v_max_abs_error,status,error
64,1,0.11814399808645248,0.10107200220227242,1.168909247983575,4.76837158203125e-07,0.0009765625,0.0,ok,
64,2,0.11814399808645248,0.05881600081920624,2.0087050537423283,4.76837158203125e-07,0.0009765625,0.0,ok,
64,4,0.11814399808645248,0.07851200178265572,1.5047890182893282,4.76837158203125e-07,0.0009765625,0.0,ok,
64,8,0.11814399808645248,0.06398400291800499,1.8464615012888943,4.76837158203125e-07,0.0009765625,0.0,ok,
128,1,0.09166399762034416,0.0628960020840168,1.4573898909806529,0.0009765625,9.5367431640625e-07,0.0,ok,
128,2,0.09166399762034416,0.06276800110936165,1.4603619041593594,0.0009765625,9.5367431640625e-07,0.0,ok,
128,4,0.09166399762034416,0.0626400001347065,1.4633460635891113,0.0009765625,9.5367431640625e-07,0.0,ok,
128,8,0.09166399762034416,0.062431998550891876,1.468221420873202,0.0009765625,9.5367431640625e-07,0.0,ok,
256,1,0.09099199995398521,0.06249599903821945,1.455965203441888,0.0009765625,0.0009765625,0.0,ok,
256,2,0.09099199995398521,0.06280000135302544,1.4489171655026025,0.0009765625,0.0009765625,0.0,ok,
256,4,0.09099199995398521,0.06294400244951248,1.445602383276629,0.0009765625,0.0009765625,0.0,ok,
256,8,0.09099199995398521,0.06280000135302544,1.4489171655026025,0.0009765625,0.0009765625,0.0,ok,
512,1,0.09224000200629234,0.06340799853205681,1.4547060961033031,0.0009765625,0.00048828125,0.0,ok,
512,2,0.09224000200629234,0.06120000034570694,1.507189566752393,0.0009765625,0.00048828125,0.0,ok,
512,4,0.09224000200629234,0.06209600158035755,1.4854418909231357,0.0009765625,0.00048828125,0.0,ok,
512,8,0.09224000200629234,0.06639999896287918,1.3891566784189104,0.0009765625,0.00048828125,0.0,ok,
768,1,0.08697599917650223,0.06072000041604042,1.4324110438168862,0.0009765625,0.001953125,0.0,ok,
768,2,0.08697599917650223,0.06092800013720989,1.4275209916726666,0.0009765625,0.001953125,0.0,ok,
768,4,0.08697599917650223,0.06312000006437302,1.377946753608993,0.0009765625,0.001953125,0.0,ok,
768,8,0.08697599917650223,0.07308799773454666,1.1900175387537137,0.0009765625,0.001953125,0.0,ok,
1024,1,0.08663999661803246,0.061103999614715576,1.4179104013539416,0.0009765625,0.00048828125,0.0,ok,
1024,2,0.08663999661803246,0.061375999823212624,1.4116266434370148,0.0009765625,0.00048828125,0.0,ok,
1024,4,0.08663999661803246,0.06668800115585327,1.2991841878053947,0.0009765625,0.00048828125,0.0,ok,
1024,8,0.08663999661803246,0.07928000018000603,1.092835474537279,0.0009765625,0.00048828125,0.0,ok,
1536,1,0.0883840024471283,0.06510400027036667,1.357581747359355,0.001953125,0.0009765625,0.0,ok,
1536,2,0.0883840024471283,0.06464000046253204,1.3673267607471513,0.001953125,0.0009765625,0.0,ok,
1536,4,0.0883840024471283,0.0727200023829937,1.2154015339773665,0.001953125,0.0009765625,0.0,ok,
1536,8,0.0883840024471283,0.09222400188446045,0.9583622553904898,0.001953125,0.0009765625,0.0,ok,
2048,1,0.08796799927949905,0.06809600070118904,1.2918232843880217,0.001953125,0.001953125,0.0,ok,
2048,2,0.08796799927949905,0.06852800026535988,1.2836796483023287,0.001953125,0.001953125,0.0,ok,
2048,4,0.08796799927949905,0.07979199662804604,1.1024664502326695,0.001953125,0.001953125,0.0,ok,
2048,8,0.08796799927949905,0.10574400052428246,0.8318958885927394,0.001953125,0.001953125,0.0,ok,
3072,1,0.08775999769568443,0.0761759988963604,1.1520688795309977,0.001953125,0.001953125,0.0,ok,
3072,2,0.08775999769568443,0.07598399743437767,1.1549800044605039,0.001953125,0.001953125,0.0,ok,
3072,4,0.08775999769568443,0.09275199845433235,0.946179049057301,0.001953125,0.001953125,0.0,ok,
