batch_size,query_length,prefix_length,context_length,attention_pairs,block_m,block_n,num_warps,num_stages,sdpa_median_ms,triton_median_ms,speedup_vs_sdpa,speedup_vs_production,max_abs_error,status,error
1,64,0,64,2080,32,16,4,2,0.1780960038304329,0.0673920027911663,2.6426875067404523,0.9762582403498695,0.0009765625,ok,
1,64,0,64,2080,32,32,2,2,0.1780960038304329,0.06716799736022949,2.651500875860331,0.9795140639031957,0.0009765625,ok,
1,64,0,64,2080,32,32,4,2,0.1780960038304329,0.06616000086069107,2.6918984509301684,0.994437684441564,0.0009765625,ok,
1,64,0,64,2080,64,32,4,2,0.1780960038304329,0.06579199805855751,2.7069553910176176,1.0,0.0009765625,ok,
1,64,0,64,2080,64,64,4,2,0.1780960038304329,0.0650239996612072,2.738927238532876,1.0118109990365372,0.0009765625,ok,
1,64,0,64,2080,128,64,8,2,0.1780960038304329,0.06492800265550613,2.7429767826891513,1.013306976461844,0.0009765625,ok,
1,64,128,192,10272,32,16,4,2,0.1735999956727028,0.0700480006635189,2.478300508626992,0.9159433520602985,0.00048828125,ok,
1,64,128,192,10272,32,32,2,2,0.1735999956727028,0.06905599683523178,2.513901813435753,0.929101069758675,0.000244140625,ok,
1,64,128,192,10272,32,32,4,2,0.1735999956727028,0.06329600140452385,2.74266923376767,1.0136501375943145,0.000244140625,ok,
1,64,128,192,10272,64,32,4,2,0.1735999956727028,0.06416000053286552,2.705735570930636,1.0,0.000244140625,ok,
1,64,128,192,10272,64,64,4,2,0.1735999956727028,0.06505599990487099,2.6684701784086284,0.9862272600019114,0.000244140625,ok,
1,64,128,192,10272,128,64,8,2,0.1735999956727028,0.06462400034070015,2.6863084110775737,0.9928200079631654,0.000244140625,ok,
1,64,512,576,34848,32,16,4,2,0.17641599476337433,0.10076799988746643,1.7507144625316418,0.7840584133563901,0.000244140625,ok,
1,64,512,576,34848,32,32,2,2,0.17641599476337433,0.09251200035214424,1.9069525476895102,0.8540297237993145,0.000244140625,ok,
1,64,512,576,34848,32,32,4,2,0.17641599476337433,0.08233599737286568,2.1426350611198557,0.959580264159178,0.000244140625,ok,
1,64,512,576,34848,64,32,4,2,0.17641599476337433,0.07900799810886383,2.232887795996218,1.0,0.000244140625,ok,
1,64,512,576,34848,64,64,4,2,0.17641599476337433,0.07620799914002419,2.314927524067762,1.0367415363273735,0.000244140625,ok,
1,64,512,576,34848,128,64,8,2,0.17641599476337433,0.07862399891018867,2.243793208291178,1.0048839947598416,0.000244140625,ok,
1,64,2048,2112,133152,32,16,4,2,0.2454560026526451,0.22364799678325653,1.0975104010903496,0.6503791818153168,0.0001220703125,ok,
1,64,2048,2112,133152,32,32,2,2,0.2454560026526451,0.19222400337457657,1.2769269099777212,0.756700508828165,0.0001220703125,ok,
1,64,2048,2112,133152,32,32,4,2,0.2454560026526451,0.14931200444698334,1.643913385007164,0.9741748608979159,0.0001220703125,ok,
1,64,2048,2112,133152,64,32,4,2,0.2454560026526451,0.145456001162529,1.6874931298185392,1.0,0.0001220703125,ok,
1,64,2048,2112,133152,64,64,4,2,0.2454560026526451,0.13308800011873245,1.8443135551940464,1.092931000787168,6.103515625e-05,ok,
1,64,2048,2112,133152,128,64,8,2,0.2454560026526451,0.14268799871206284,1.720228784958733,1.019398985727257,6.103515625e-05,ok,
1,64,8192,8256,526368,32,16,4,2,0.538864016532898,0.699504017829895,0.7703515673929103,0.5532834557373082,6.103515625e-05,ok,
1,64,8192,8256,526368,32,32,2,2,0.538864016532898,0.5839999914169312,0.9227123706380167,0.6627123389985644,6.103515625e-05,ok,
1,64,8192,8256,526368,32,32,4,2,0.538864016532898,0.41704000532627106,1.2921158873267276,0.9280260774605255,6.103515625e-05,ok,
1,64,8192,8256,526368,64,32,4,2,0.538864016532898,0.38702400028705597,1.3923271325117361,1.0,6.103515625e-05,ok,
1,64,8192,8256,526368,64,64,4,2,0.538864016532898,0.34439998865127563,1.5646458603067148,1.1237631040660097,6.103515625e-05,ok,
1,64,8192,8256,526368,128,64,8,2,0.538864016532898,0.38814400136470795,1.3883095310973785,0.9971144702128228,6.103515625e-05,ok,
1,64,16384,16448,1050656,32,16,4,2,0.9974240064620972,1.336351990699768,0.7463782097857358,0.5286870369869832,3.0517578125e-05,ok,
1,64,16384,16448,1050656,32,32,2,2,0.9974240064620972,1.1144799590110779,0.8949680955655326,0.6339386981544584,3.0517578125e-05,ok,
1,64,16384,16448,1050656,32,32,4,2,0.9974240064620972,0.7708959877490997,1.2938503018733112,0.9164815819026707,3.0517578125e-05,ok,
1,64,16384,16448,1050656,64,32,4,2,0.9974240064620972,0.7065119743347168,1.4117581055881128,1.0,3.0517578125e-05,ok,
1,64,16384,16448,1050656,64,64,4,2,0.9974240064620972,0.6040319800376892,1.651276818819861,1.1696598817344626,3.0517578125e-05,ok,
1,64,16384,16448,1050656,128,64,8,2,0.9974240064620972,0.6952959895133972,1.4345315110477541,1.0161312376174771,3.0517578125e-05,ok,
1,128,0,128,8256,32,16,4,2,0.171424001455307,0.06480000168085098,2.6454320526038573,1.009382729761585,0.0009765625,ok,
1,128,0,128,8256,32,32,2,2,0.171424001455307,0.06516800075769424,2.6304934854866997,1.0036828170986982,0.0009765625,ok,
1,128,0,128,8256,32,32,4,2,0.171424001455307,0.0676640011370182,2.5334594256135836,0.966658806545046,0.0009765625,ok,
1,128,0,128,8256,64,32,4,2,0.171424001455307,0.06540800258517265,2.620841405943913,1.0,0.0009765625,ok,
1,128,0,128,8256,64,64,4,2,0.171424001455307,0.06345599889755249,2.70146250052836,1.030761531163848,0.0009765625,ok,
1,128,0,128,8256,128,64,8,2,0.171424001455307,0.06478400155901909,2.646085411984585,1.0096320235110066,0.0009765625,ok,
