rows,hidden_size,baseline_median_ms,best_fused_median_ms,best_speedup,best_block_size,best_num_warps,successful_configurations,failed_configurations
1,8960,0.016303999349474907,0.03471999987959862,0.4695852363483185,128,8,8,0
8,8960,0.01643200032413006,0.03428800031542778,0.4792347227299963,1024,8,8,0
32,8960,0.016448000445961952,0.03432000055909157,0.47925408444099754,1024,8,8,0
64,8960,0.016527999192476273,0.034272000193595886,0.48225954420847367,1024,4,8,0
520,8960,0.021888000890612602,0.034512000158429146,0.6342142092644467,1024,8,8,0
2048,8960,0.07260800153017044,0.06385600194334984,1.1370583707164281,1024,8,8,0
4128,8960,0.1351199969649315,0.09942399710416794,1.3590280103440655,1024,8,8,0
8200,8960,0.2571680098772049,0.17027200013399124,1.5103364597516504,1024,8,8,0
16384,8960,0.5021440088748932,0.31169600784778595,1.611005583106829,1024,8,8,0
