rows,hidden_size,block_size,num_warps,baseline_median_ms,fused_median_ms,speedup,baseline_effective_gbps,fused_effective_gbps,max_abs_error,status,error
1,8960,128,4,0.016303999349474907,0.03627200052142143,0.4494926972623451,5.495584125062278,1.4821349588438206,0.00390625,ok,
1,8960,128,8,0.016303999349474907,0.03471999987959862,0.4695852363483185,5.495584125062278,1.5483871021436622,0.00390625,ok,
1,8960,256,4,0.016303999349474907,0.03566399961709976,0.4571556618584544,5.495584125062278,1.5074024387949965,0.00390625,ok,
1,8960,256,8,0.016303999349474907,0.03478400036692619,0.46872122750370315,5.495584125062278,1.545538162169433,0.00390625,ok,
1,8960,512,4,0.016303999349474907,0.035280000418424606,0.46213149535452713,5.495584125062278,1.5238095057369785,0.00390625,ok,
1,8960,512,8,0.016303999349474907,0.03510399907827377,0.46444848956156737,5.495584125062278,1.5314494476862217,0.00390625,ok,
1,8960,1024,4,0.016303999349474907,0.034863999113440514,0.46764570227371044,5.495584125062278,1.541991778541402,0.00390625,ok,
1,8960,1024,8,0.016303999349474907,0.03505600057542324,0.46508441013962026,5.495584125062278,1.5335463007063506,0.00390625,ok,
8,8960,128,4,0.01643200032413006,0.035071998834609985,0.46852192262034753,43.6221997237545,12.26277413010135,0.00390625,ok,
8,8960,128,8,0.01643200032413006,0.03524800017476082,0.46618248532284456,43.6221997237545,12.201543289481625,0.00390625,ok,
8,8960,256,4,0.01643200032413006,0.03468799963593483,0.47370850140079634,43.6221997237545,12.398524115367586,0.00390625,ok,
8,8960,256,8,0.01643200032413006,0.03433600068092346,0.47856477161766303,43.6221997237545,12.52562882895519,0.00390625,ok,
8,8960,512,4,0.01643200032413006,0.034671999514102936,0.47392710413041783,43.6221997237545,12.40424567452661,0.00390625,ok,
8,8960,512,8,0.01643200032413006,0.03479999862611294,0.4721839360016511,43.6221997237545,12.358621177567523,0.00390625,ok,
8,8960,1024,4,0.01643200032413006,0.03444800153374672,0.4770088130666325,43.6221997237545,12.484904228150228,0.00390625,ok,
8,8960,1024,8,0.01643200032413006,0.03428800031542778,0.4792347227299963,43.6221997237545,12.543163673691605,0.00390625,ok,
32,8960,128,4,0.016448000445961952,0.03511999920010567,0.4683371532056431,174.31906142146954,48.98405578536642,0.00390625,ok,
32,8960,128,8,0.016448000445961952,0.03524800017476082,0.46663641524092686,174.31906142146954,48.8061731579265,0.00390625,ok,
32,8960,256,4,0.016448000445961952,0.03465600125491619,0.4746075672428795,174.31906142146954,49.63988739918345,0.00390625,ok,
32,8960,256,8,0.016448000445961952,0.03526400029659271,0.4664246911190956,174.31906142146954,48.78402862780776,0.00390625,ok,
32,8960,512,4,0.016448000445961952,0.03457599878311157,0.47570572144963963,174.31906142146954,49.75474492555452,0.00390625,ok,
32,8960,512,8,0.016448000445961952,0.03463999927043915,0.47482681271296207,174.31906142146954,49.66281859792287,0.00390625,ok,
32,8960,1024,4,0.016448000445961952,0.0347680002450943,0.4730787025429435,174.31906142146954,49.47998124346349,0.00390625,ok,
32,8960,1024,8,0.016448000445961952,0.03432000055909157,0.47925408444099754,174.31906142146954,50.12587330929624,0.00390625,ok,
64,8960,128,4,0.016527999192476273,0.03508799895644188,0.4710442226413103,346.9506461865246,98.05745845669908,0.0078125,ok,
64,8960,128,8,0.016527999192476273,0.03500800020992756,0.4721206322373498,346.9506461865246,98.28153505964342,0.0078125,ok,
64,8960,256,4,0.016527999192476273,0.0346400011330843,0.4771362197413601,346.9506461865246,99.3256318549563,0.0078125,ok,
64,8960,256,8,0.016527999192476273,0.03492800146341324,0.47320197262901514,346.9506461865246,98.50663810822496,0.0078125,ok,
64,8960,512,4,0.016527999192476273,0.03432000055909157,0.48158505021055165,346.9506461865246,100.25174661859248,0.0078125,ok,
64,8960,512,8,0.016527999192476273,0.03471999987959862,0.47603684475206703,346.9506461865246,99.09677453719438,0.0078125,ok,
64,8960,1024,4,0.016527999192476273,0.034272000193595886,0.48225954420847367,346.9506461865246,100.39215629564926,0.0078125,ok,
64,8960,1024,8,0.016527999192476273,0.03500799834728241,0.47212065735712944,346.9506461865246,98.28154028883769,0.0078125,ok,
520,8960,128,4,0.021888000890612602,0.05083199962973595,0.43059492150705114,2128.6548841462504,549.9527896527335,0.0078125,ok,
520,8960,128,8,0.021888000890612602,0.050703998655080795,0.4316819476015688,2128.6548841462504,551.341131695907,0.0078125,ok,
520,8960,256,4,0.021888000890612602,0.039743999019265175,0.550724673679737,2128.6548841462504,703.3816598689333,0.0078125,ok,
520,8960,256,8,0.021888000890612602,0.03935999982059002,0.5560975861377556,2128.6548841462504,710.2439056764442,0.0078125,ok,
520,8960,512,4,0.021888000890612602,0.034832000732421875,0.6283877018364636,2128.6548841462504,802.5723303909758,0.0078125,ok,
520,8960,512,8,0.021888000890612602,0.03508799895644188,0.6238030535108112,2128.6548841462504,796.7168499606801,0.0078125,ok,
520,8960,1024,4,0.021888000890612602,0.03473600000143051,0.630124392264832,2128.6548841462504,804.7904191285335,0.0078125,ok,
520,8960,1024,8,0.021888000890612602,0.034512000158429146,0.6342142092644467,2128.6548841462504,810.0139044874301,0.0078125,ok,
2048,8960,128,4,0.07260800153017044,0.11507199704647064,0.6309788948987167,2527.2806871533408,956.7964650473307,0.0078125,ok,
2048,8960,128,8,0.07260800153017044,0.13499200344085693,0.537868908375611,2527.2806871533408,815.607422614759,0.0078125,ok,
2048,8960,256,4,0.07260800153017044,0.07195199653506279,1.009117259099099,2527.2806871533408,1530.1935359965605,0.0078125,ok,
2048,8960,256,8,0.07260800153017044,0.08791999891400337,0.8258417018543192,2527.2806871533408,1252.2802702453612,0.0078125,ok,
2048,8960,512,4,0.07260800153017044,0.06446399912238121,1.1263341170058083,2527.2806871533408,1707.9374767144147,0.0078125,ok,
2048,8960,512,8,0.07260800153017044,0.0687200017273426,1.0565774113081965,2527.2806871533408,1602.1606116490061,0.0078125,ok,
2048,8960,1024,4,0.07260800153017044,0.06496000289916992,1.1177339638188077,2527.2806871533408,1694.8964760807746,0.0078125,ok,
2048,8960,1024,8,0.07260800153017044,0.06385600194334984,1.1370583707164281,2527.2806871533408,1724.199396286604,0.0078125,ok,
4128,8960,128,4,0.1351199969649315,0.20241600275039673,0.6675361390845698,2737.335763084677,1096.362328000596,0.0078125,ok,
4128,8960,128,8,0.1351199969649315,0.24270399659872055,0.5567275317197796,2737.335763084677,914.3701097222471,0.0078125,ok,
4128,8960,256,4,0.1351199969649315,0.11566400155425072,1.168211328928951,2737.335763084677,1918.671989710737,0.0078125,ok,
4128,8960,256,8,0.1351199969649315,0.14664000272750854,0.9214402240295649,2737.335763084677,1513.374767268531,0.0078125,ok,
4128,8960,512,4,0.1351199969649315,0.09959999844431877,1.3566264967410628,2737.335763084677,2228.125336006554,0.0078125,ok,
4128,8960,512,8,0.1351199969649315,0.10896000266075134,1.240088047589625,2737.335763084677,2036.7224172245603,0.0078125,ok,
4128,8960,1024,4,0.1351199969649315,0.10148799791932106,1.3313889300717758,2737.335763084677,2186.67511971631,0.0078125,ok,
4128,8960,1024,8,0.1351199969649315,0.09942399710416794,1.3590280103440655,2737.335763084677,2232.0695854491737,0.0078125,ok,
8200,8960,128,4,0.2571680098772049,0.3741600066423416,0.6873209464180682,2856.964987016936,1178.1911272558584,0.0078125,ok,
8200,8960,128,8,0.2571680098772049,0.4519200026988983,0.5690564886293576,2856.964987016936,975.4646781893256,0.0078125,ok,
8200,8960,256,4,0.2571680098772049,0.20238400250673294,1.2706933685069768,2856.964987016936,2178.1958778354247,0.0078125,ok,
8200,8960,256,8,0.2571680098772049,0.2627519965171814,0.9787480715123268,2856.964987016936,1677.7493828526394,0.0078125,ok,
8200,8960,512,4,0.2571680098772049,0.17046399414539337,1.5086353641218762,2856.964987016936,2586.071048083048,0.0078125,ok,
8200,8960,512,8,0.2571680098772049,0.18827199935913086,1.3659386990768296,2856.964987016936,2341.463422604379,0.0078125,ok,
8200,8960,1024,4,0.2571680098772049,0.1725279986858368,1.4905871037517366,2856.964987016936,2555.1330993106158,0.0078125,ok,
8200,8960,1024,8,0.2571680098772049,0.17027200013399124,1.5103364597516504,2856.964987016936,2588.9870304753476,0.0078125,ok,
16384,8960,128,4,0.5021440088748932,0.7188960015773773,0.6984932560107523,2923.476879250683,1225.2173305559772,0.0078125,ok,
