component,split,shape,features,baseline_action,selected_action,oracle_action,baseline_ms,selected_ms,oracle_ms,speedup_vs_baseline,oracle_regret,oracle_margin,robust_winner
paged-prefill,train,4x1024x8192,"{""attention_pairs"": 35653632, ""batch_size"": 4, ""context_length"": 9216, ""prefix_length"": 8192, ""query_length"": 1024, ""total_query_tokens"": 4096}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,1.2290560007095337,1.2290560007095337,1.2290560007095337,1.0,1.0,1.062057344136106,True
paged-prefill,train,4x1024x16384,"{""attention_pairs"": 69208064, ""batch_size"": 4, ""context_length"": 17408, ""prefix_length"": 16384, ""query_length"": 1024, ""total_query_tokens"": 4096}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,2.310767889022827,2.310767889022827,2.310767889022827,1.0,1.0,1.0686663922840782,True
paged-prefill,train,4x1536x0,"{""attention_pairs"": 4721664, ""batch_size"": 4, ""context_length"": 1536, ""prefix_length"": 0, ""query_length"": 1536, ""total_query_tokens"": 6144}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,0.24195199459791183,0.24195199459791183,0.24195199459791183,1.0,1.0,1.0571352739911106,True
paged-prefill,train,4x1536x2048,"{""attention_pairs"": 17304576, ""batch_size"": 4, ""context_length"": 3584, ""prefix_length"": 2048, ""query_length"": 1536, ""total_query_tokens"": 6144}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,0.6505599915981293,0.6505599915981293,0.6505599915981293,1.0,1.0,1.0882685833557306,True
paged-prefill,train,4x1536x8192,"{""attention_pairs"": 55053312, ""batch_size"": 4, ""context_length"": 9728, ""prefix_length"": 8192, ""query_length"": 1536, ""total_query_tokens"": 6144}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,1.8631360530853271,1.8631360530853271,1.8631360530853271,1.0,1.0,1.139214701686941,True
paged-prefill,train,4x1536x16384,"{""attention_pairs"": 105384960, ""batch_size"": 4, ""context_length"": 17920, ""prefix_length"": 16384, ""query_length"": 1536, ""total_query_tokens"": 6144}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,3.489039897918701,3.489039897918701,3.489039897918701,1.0,1.0,1.1451448583014432,True
paged-prefill,train,4x2048x0,"{""attention_pairs"": 8392704, ""batch_size"": 4, ""context_length"": 2048, ""prefix_length"": 0, ""query_length"": 2048, ""total_query_tokens"": 8192}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,0.3659839928150177,0.3659839928150177,0.3659839928150177,1.0,1.0,1.058188362986991,True
paged-prefill,train,4x2048x2048,"{""attention_pairs"": 25169920, ""batch_size"": 4, ""context_length"": 4096, ""prefix_length"": 2048, ""query_length"": 2048, ""total_query_tokens"": 8192}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,0.9129439890384674,0.9129439890384674,0.9129439890384674,1.0,1.0,1.054294675304016,True
paged-prefill,train,4x2048x8192,"{""attention_pairs"": 75501568, ""batch_size"": 4, ""context_length"": 10240, ""prefix_length"": 8192, ""query_length"": 2048, ""total_query_tokens"": 8192}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,2.527071952819824,2.527071952819824,2.527071952819824,1.0,1.0,1.0649415980741384,True
paged-prefill,train,4x2048x16384,"{""attention_pairs"": 142610432, ""batch_size"": 4, ""context_length"": 18432, ""prefix_length"": 16384, ""query_length"": 2048, ""total_query_tokens"": 8192}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,4.703743934631348,4.703743934631348,4.703743934631348,1.0,1.0,1.0613843161910639,True
paged-prefill,train,8x128x8192,"{""attention_pairs"": 8454656, ""batch_size"": 8, ""context_length"": 8320, ""prefix_length"": 8192, ""query_length"": 128, ""total_query_tokens"": 1024}",tile-64x32x4x2,tile-64x64x4x2,tile-128x64x8x2,0.5495840013027191,0.45267200469970703,0.44841599464416504,1.2140887786230594,1.0094912092931014,1.0094912092931014,False
paged-prefill,train,8x128x16384,"{""attention_pairs"": 16843264, ""batch_size"": 8, ""context_length"": 16512, ""prefix_length"": 16384, ""query_length"": 128, ""total_query_tokens"": 1024}",tile-64x32x4x2,tile-64x64x4x2,tile-128x64x8x2,1.0243040323257446,0.8446719944477081,0.8390879929065704,1.2126648439380183,1.0066548462000926,1.0066548462000926,False
paged-prefill,train,8x256x2048,"{""attention_pairs"": 4457472, ""batch_size"": 8, ""context_length"": 2304, ""prefix_length"": 2048, ""query_length"": 256, ""total_query_tokens"": 2048}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,0.20180799812078476,0.20180799812078476,0.20180799812078476,1.0,1.0,1.1826686648789675,True
paged-prefill,train,8x256x8192,"{""attention_pairs"": 17040384, ""batch_size"": 8, ""context_length"": 8448, ""prefix_length"": 8192, ""query_length"": 256, ""total_query_tokens"": 2048}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,0.6148479878902435,0.6148479878902435,0.6148479878902435,1.0,1.0,1.3863849691300054,True
paged-prefill,train,8x256x16384,"{""attention_pairs"": 33817600, ""batch_size"": 8, ""context_length"": 16640, ""prefix_length"": 16384, ""query_length"": 256, ""total_query_tokens"": 2048}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,1.151024043560028,1.151024043560028,1.151024043560028,1.0,1.0,1.4097359849026816,True
paged-prefill,train,8x384x0,"{""attention_pairs"": 591360, ""batch_size"": 8, ""context_length"": 384, ""prefix_length"": 0, ""query_length"": 384, ""total_query_tokens"": 3072}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,0.08193599805235863,0.08193599805235863,0.08193599805235863,1.0,1.0,1.0361257598310707,True
paged-prefill,train,8x384x2048,"{""attention_pairs"": 6882816, ""batch_size"": 8, ""context_length"": 2432, ""prefix_length"": 2048, ""query_length"": 384, ""total_query_tokens"": 3072}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,0.3308800011873245,0.3308800011873245,0.3308800011873245,1.0,1.0,1.0913443249512351,True
paged-prefill,train,8x384x16384,"{""attention_pairs"": 50923008, ""batch_size"": 8, ""context_length"": 16768, ""prefix_length"": 16384, ""query_length"": 384, ""total_query_tokens"": 3072}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,2.0583839416503906,2.0583839416503906,2.0583839416503906,1.0,1.0,1.1262349585706264,True
paged-prefill,train,8x512x0,"{""attention_pairs"": 1050624, ""batch_size"": 8, ""context_length"": 512, ""prefix_length"": 0, ""query_length"": 512, ""total_query_tokens"": 4096}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,0.0987359993159771,0.0987359993159771,0.0987359993159771,1.0,1.0,1.048128369484086,True
