regime,decode_requests,decode_context,prefill_requests,prefill_query,prefill_prefix,decode_median_ms,prefill_median_ms,sequential_median_ms,overlap_median_ms,speedup,hidden_fraction,status,error
launch-bound,8,128,2,256,0,0.05246399901807308,0.06193600036203861,0.09417600184679031,0.13198400288820267,0.7135410336551339,0.0,ok,
decode-heavy-low,8,8192,2,256,0,0.9359359741210938,0.059568000957369804,0.9543839991092682,0.9542719721794128,1.0001173951799083,0.0018806561921646393,ok,
balanced-fresh,32,2048,2,2048,0,0.33743999898433685,0.21054399758577347,0.5070880055427551,0.529343992471695,0.9579555312887963,0.0,ok,
balanced-resumed,32,2048,2,2048,4096,0.3479200005531311,0.6797760128974915,0.975600004196167,0.983680009841919,0.991785940992081,0.0,ok,
decode-heavy-high,64,8192,2,256,0,2.2701600790023804,0.059088001027703285,2.2884799242019653,2.2908319234848022,0.9989732990627881,0.0,ok,
long-fresh-prefill,8,128,2,8192,0,0.0485600009560585,1.9957119822502136,2.0310399532318115,2.0631359815597534,0.9844430863429191,0.0,ok,
prefill-heavy,8,128,2,4096,16384,0.04689599946141243,4.320448160171509,4.37771201133728,4.374191999435425,1.0008047227698988,0.07505996123937715,ok,
dual-heavy,64,8192,2,4096,16384,2.1860800981521606,4.295776128768921,6.4451680183410645,6.408704042434692,1.005689758126593,0.016680073130529008,ok,
